scope,candidate,n,rmse,mae,bias,p95_absolute_error,gap_score
assessment_blocks,m5_without_weather,514,0.1287482175631989,0.09659400252351572,-0.0095271248064214,0.2751367730384462,0.0
assessment_points,m5_without_weather,511,0.0824147595830391,0.05556281093945426,-0.003394475605416017,0.17323238306296773,5.28
calibration_blocks,m5_without_weather,622,0.12638902636572247,0.09448902600904574,0.024146124094170055,0.2703066708475811,0.0
calibration_points,m5_without_weather,551,0.0798423720979538,0.05570047150279177,0.002195792017161085,0.16324691374406708,6.05
development_blocks,m0,4430,0.1327441379214204,0.09816590186223637,-0.01717647070796165,0.27639842693988914,0.0
development_blocks,m0_clip,4430,0.1327441379214204,0.09816590186223637,-0.01717647070796165,0.27639842693988914,0.0
development_blocks,m0_raw,4430,0.1327441379214204,0.09816590186223637,-0.01717647070796165,0.27639842693988914,0.0
development_blocks,m1,4430,0.1297640624466331,0.09505803218679809,-0.017850507803136052,0.27382864617267283,0.0
development_blocks,m2,4430,0.1320761491159493,0.09720470078206596,-0.019168056559024087,0.27769167418977375,0.0
development_blocks,m3,4430,0.13804881958571522,0.1016134400572543,-0.021848171348595916,0.29283246867377716,0.0
development_blocks,m3_raw,4430,0.13804881958571522,0.1016134400572543,-0.021848171348595916,0.29283246867377716,0.0
development_blocks,m3_without_robust,4430,0.1398064920516138,0.10304510995171853,-0.022498783890279102,0.2953228523217892,0.0
development_blocks,m4,4430,0.11732225551181001,0.08520685836319533,-0.014776267682833404,0.24345576917299092,0.0
development_blocks,m4_without_history,4430,0.1297640624466331,0.09505803218679809,-0.017850507803136052,0.27382864617267283,0.0
development_blocks,m5,4430,0.1300934924233258,0.0972514101193032,-0.001761161495483064,0.2693185092172417,0.0
development_blocks,m5_without_sensors,4430,0.13510271871060514,0.10045400554323079,-0.0015650333554757445,0.2869638393485568,0.0
development_blocks,m5_without_weather,4430,0.12920369363840165,0.09661192097083096,-0.0013215212477652673,0.26518705211056126,0.0
development_points,m0,4482,0.0906113206897803,0.06483483333669335,0.0011722172541620648,0.18851772734508304,2.82
development_points,m0_clip,4482,0.0906113206897803,0.06483483333669335,0.0011722172541620648,0.18851772734508304,2.82
development_points,m0_raw,4482,0.0906113206897803,0.06483483333669335,0.0011722172541620648,0.18851772734508304,2.82
development_points,m1,4482,0.09191398425927144,0.06578351801637862,0.001032926956593212,0.1918485217699356,2.43
development_points,m2,4482,0.09564396114652413,0.0684861922110857,0.0014617872005341806,0.1996384312568228,1.31
development_points,m3,4482,0.08714869444382364,0.061803073025243835,0.0011467855096854804,0.18086722488682802,3.86
development_points,m3_raw,4482,0.08714869444382364,0.061803073025243835,0.0011467855096854804,0.18086722488682802,3.86
development_points,m3_without_robust,4482,0.09037575364853914,0.06436353023914664,0.0011105909191767857,0.18810548403700078,2.89
development_points,m4,4482,0.09537868938902659,0.06874358403933994,0.000921707602458937,0.20061325761747925,1.39
development_points,m4_without_history,4482,0.09191398425927144,0.06578351801637862,0.001032926956593212,0.1918485217699356,2.43
development_points,m5,4482,0.07941603864493067,0.05645565877482448,0.00010108650090388121,0.16429547473474662,6.18
development_points,m5_without_sensors,4482,0.0869662759821155,0.06303516739322321,0.0013307570377381831,0.17890292034884353,3.91
development_points,m5_without_weather,4482,0.07928744301854429,0.05642374054288154,0.00011304295131235983,0.16330786281698653,6.21
temporal_blocks,m5_without_weather,286,0.14083513100283285,0.1050503184876152,0.055154912715038217,0.3175882761412104,0.0
temporal_points,m5_without_weather,282,0.06603727267091139,0.049599893950772675,0.003891756646517216,0.13849283724291933,10.19
