scope,variant,n,rmse,mae,bias,p95_absolute_error
development_blocks,baseline,4430,0.09417293020870814,0.06807186702239752,-0.010160939663662674,0.202746685044965
development_blocks,candidate,4430,0.09320556160653631,0.06707862575914629,-0.01033062778296374,0.20054818610203484
development_points,baseline,4482,0.06826028078943545,0.047690948752884536,-0.0005134610784594533,0.13646358228663583
development_points,candidate,4482,0.0673569506374031,0.04685137392277974,-0.00048023184506689625,0.13474301444775383
