scope,variant,n,rmse,mae,bias,p95_absolute_error
development_blocks,baseline,4430,0.12920369363840165,0.09661192097083096,-0.0013215212477652898,0.26518705211056126
development_blocks,candidate,4430,0.10142951000974414,0.07366974215309462,-0.008308037353043937,0.21228420874644185
development_blocks,fixed_history_route,4430,0.10155110311690678,0.07321121020191329,-0.010259207737112376,0.21247931402536188
development_points,baseline,4482,0.07928744301854429,0.05642374054288154,0.00011304295131233703,0.16330786281698653
development_points,candidate,4482,0.07244515762484736,0.05148352448740545,-0.0013121410882019863,0.14646763513590957
development_points,fixed_history_route,4482,0.07239062974446203,0.051474843349102,-0.001365970066396416,0.14618641679944672
