scope,candidate,n,rmse,mae,bias,p95_absolute_error,gap_score
development_blocks,local_160,4430,0.13397203623400716,0.09871514022197234,-0.006034717909919384,0.2796949281589074,0.0
development_blocks,local_400,4430,0.13416208608985244,0.09835490899188039,-0.007582051157288512,0.28087969063559337,0.0
development_blocks,local_mixed,4430,0.10142951000974414,0.07366974215309462,-0.008308037353043914,0.21228420874644185,0.0
development_blocks,local_mixed_linear,4430,0.10126707689559007,0.0731868048810343,-0.007991958329118951,0.21255679508858094,0.0
development_blocks,local_repeated,4430,0.124045970645982,0.0916644195389505,-0.004769808028864514,0.2571280387260558,0.0
development_blocks,previous,4430,0.12920369363840165,0.09661192097083096,-0.0013215212477652673,0.26518705211056126,0.0
development_points,local_160,4482,0.07687626075342406,0.05447822751898854,-0.0005492081285701096,0.15694626008113266,6.94
development_points,local_400,4482,0.07495335408531055,0.05320369836037114,-0.0008680578497797687,0.150725040184027,7.51
development_points,local_mixed,4482,0.07244515762484736,0.05148352448740546,-0.0013121410882019646,0.14646763513590957,8.27
development_points,local_mixed_linear,4482,0.07356847050058438,0.05208792510688718,-0.0009158268636615705,0.1487204509739265,7.93
development_points,local_repeated,4482,0.0727660485717498,0.051334951944552336,-0.0008291854511619003,0.14490840543169395,8.17
development_points,previous,4482,0.07928744301854429,0.05642374054288154,0.00011304295131235983,0.16330786281698653,6.21
