scope,candidate,n,rmse,mae,bias,p95_absolute_error,gap_score
development_blocks,cover_5,4430,0.09961403022314311,0.0726723403560562,-0.009739205206793456,0.20680351185786794,0.12
development_blocks,cover_depth5,4430,0.09851509498058587,0.07161527276027742,-0.010517297498671037,0.2025779877443195,0.45
development_blocks,cover_depth6,4430,0.09728192703688444,0.07064027233226913,-0.010526806043299749,0.2033892095513851,0.82
development_blocks,cover_quality,4430,0.0980600563973031,0.07131156696920003,-0.009910018915025473,0.20562936842916565,0.58
development_blocks,cover_quality_depth5,4430,0.09661739911707605,0.06987245378048396,-0.010517206749693267,0.20551993521216572,1.01
development_blocks,cover_regularized,4430,0.09875520728471125,0.07172663778329517,-0.010397378821842433,0.20505165796196323,0.37
development_blocks,current,4430,0.10142951000974414,0.07366974215309462,-0.008308037353043914,0.21228420874644185,0.0
development_blocks,random_6,4430,0.09746938723270443,0.07120577644280675,-0.008624548804352691,0.2051406999867068,0.76
development_points,cover_5,4482,0.07170700598175996,0.05077160175803621,-0.0011296648047365904,0.14621287407330263,8.49
development_points,cover_depth5,4482,0.07046844118972245,0.049793853811956224,-0.0007423658470909755,0.14067135908548423,8.86
development_points,cover_depth6,4482,0.06995802781916792,0.04932957238172846,-0.0008865563016847338,0.1400202653303495,9.01
development_points,cover_quality,4482,0.070559397394185,0.04947260567753551,-7.471353702039571e-05,0.1417662547113327,8.83
development_points,cover_quality_depth5,4482,0.06959093588393345,0.04863908974069474,-0.0001846389969616007,0.1408829608317167,9.12
development_points,cover_regularized,4482,0.07078800559029817,0.05013134345098374,-0.0008405499670898103,0.1407257531488803,8.76
development_points,current,4482,0.07244515762484736,0.05148352448740546,-0.0013121410882019646,0.14646763513590957,8.27
development_points,random_6,4482,0.07172436052720951,0.050721601405212736,-0.0014233022663721155,0.1459849451132848,8.48
