scope,variant,n,rmse,mae,bias,p95_absolute_error
development_blocks,baseline,4430,0.09417293020870814,0.06807186702239752,-0.010160939663662674,0.202746685044965
development_blocks,candidate,4430,0.09504406204246311,0.06897734029825835,-0.009498471234483235,0.2035310311767033
development_points,baseline,4482,0.06826028078943545,0.047690948752884536,-0.0005134610784594533,0.13646358228663583
development_points,candidate,4482,0.06779434573303156,0.04733096208975396,-0.0007115470418830787,0.1358588956958389
