scope,variant,n,rmse,mae,bias,p95_absolute_error
development_blocks,baseline,4430,0.09417293020870814,0.06807186702239752,-0.010160939663662674,0.202746685044965
development_blocks,candidate,4430,0.09310408393052666,0.06711301720259448,-0.010106594968174098,0.200717386021637
development_points,baseline,4482,0.06826028078943545,0.047690948752884536,-0.0005134610784594533,0.13646358228663583
development_points,candidate,4482,0.06749545538358577,0.047009925392375015,-0.0005516600435599742,0.1363167314446951
