scope,variant,n,rmse,mae,bias,p95_absolute_error
development_blocks,baseline,4430,0.09417293020870814,0.06807186702239752,-0.010160939663662674,0.202746685044965
development_blocks,candidate,4430,0.09408659014772991,0.0681454232078295,-0.010096030639710391,0.2004645049668621
development_points,baseline,4482,0.06826028078943545,0.047690948752884536,-0.0005134610784594533,0.13646358228663583
development_points,candidate,4482,0.06835974840576006,0.04779340157961855,-4.363623862117862e-05,0.13755676284221824
