scope,algorithm,n,rmse,mae,bias,p95_absolute_error,gap_score
development_blocks,linear,7124,0.1365375030644948,0.09562981433266746,-0.020866251192796965,0.28693073025723737,0.0
development_blocks,neighbor_mean,7124,0.14076897469217337,0.10042385072791706,-0.020833373569607804,0.29120594675940303,0.0
development_blocks,pchip,7124,0.1393841526848949,0.09756939715506276,-0.0201967920978095,0.29682110841594345,0.0
development_points,linear,7288,0.09437122896994501,0.06388842830002368,0.0031172046800024143,0.18859366015576665,1.69
development_points,neighbor_mean,7288,0.09308804041529492,0.06300917089996648,0.0030186002623746053,0.18589333247777323,2.07
development_points,pchip,7288,0.09804219878443152,0.0666264252044884,0.0038065734569287376,0.19548854479241123,0.59
locked_blocks,neighbor_mean,1021,0.1305547791258058,0.09404945663692552,-0.013003713597618892,0.2829334102131284,0.0
locked_points,neighbor_mean,927,0.09668535500873464,0.0671047077730471,-0.0038073091420046295,0.21712873881150652,0.99
temporal,neighbor_mean,427,0.06598684030780201,0.04645505553082217,0.009694541173908567,0.13407232637426153,10.2
