date,clean_primary,reconstructed,origin,source_sensor,climatology_mean,climatology_std,zscore
2024-06-01,,0.31194707305681263,extrapolated,,,,
2024-06-02,,0.31144452847931436,extrapolated,,,,
2024-06-03,,0.3123391157144865,extrapolated,,,,
2024-06-04,,0.3177013431449446,extrapolated,,,,
2024-06-05,,0.32347837717356387,extrapolated,,,,
2024-06-06,,0.332906448780035,extrapolated,landsat,,,
2024-06-07,,0.3327932287595017,extrapolated,,,,
2024-06-08,,0.3568543470188547,extrapolated,,,,
2024-06-09,0.2564216321980297,0.2564216321980297,observed,sentinel2,,,
2024-06-10,,0.35883329538386,interpolated,,,,
2024-06-11,0.27141713370696563,0.27141713370696563,observed,sentinel2,,,
2024-06-12,,0.4230012781232538,interpolated,,,,
2024-06-13,,0.4234966766761319,interpolated,,,,
2024-06-14,,0.42236312042607843,interpolated,,,,
2024-06-15,,0.42578924302032645,interpolated,landsat,,,
2024-06-16,,0.43094553473027686,interpolated,sentinel2,,,
2024-06-17,,0.43555606444255746,interpolated,,,,
2024-06-18,,0.43699083514982007,interpolated,,,,
2024-06-19,0.4441078927307449,0.4441078927307449,observed,sentinel2,,,
2024-06-20,,0.4896022295118526,interpolated,,,,
2024-06-21,,0.4966777878139806,interpolated,sentinel2,,,
2024-06-22,0.5237804539652589,0.5237804539652589,observed,landsat,0.7379799198021104,0.0961546811526168,-2.227655099774851
2024-06-23,,0.59076927633561,interpolated,,,,
2024-06-24,,0.5877023999488955,interpolated,sentinel2,,,
2024-06-25,,0.5981761145376882,interpolated,,,,
2024-06-26,,0.6087614733243876,interpolated,sentinel2,,,
2024-06-27,,0.616780288195976,interpolated,,0.8575216638675236,0.052020052986404185,-4.627857179124118
2024-06-28,,0.626652945451598,interpolated,,0.8575216638675236,0.052020052986404185,-4.438071573596144
2024-06-29,0.6646536320625367,0.6646536320625367,observed,sentinel2,0.8575216638675236,0.052020052986404185,-3.707570844946935
2024-06-30,0.6699116271064991,0.6699116271064991,observed,landsat,0.8619816651031887,0.09969615222725974,-1.9265541719088763
2024-07-01,0.6571428571428573,0.6571428571428573,observed,sentinel2,0.8575216638675236,0.052020052986404185,-3.851953145396388
2024-07-02,,0.7117128298808075,interpolated,,0.8575216638675236,0.01802024572312032,-8.091389885968121
2024-07-03,,0.7145333386544623,interpolated,,0.8575216638675236,0.01802024572312032,-7.934871000654808
2024-07-04,0.7299842271293375,0.7299842271293375,observed,sentinel2,0.8575216638675236,0.01802024572312032,-7.077452699468637
2024-07-05,,0.7416061030821818,interpolated,,0.8575216638675236,0.045745141491487035,-2.5339425566519056
2024-07-06,0.7943771220721191,0.7943771220721191,observed,sentinel2,0.8575216638675236,0.045745141491487035,-1.3803551532823533
2024-07-07,,0.7654906940059135,interpolated,,0.8575216638675236,0.034441723469745104,-2.6720779505257197
2024-07-08,,0.7680793447620066,interpolated,landsat,0.8575216638675236,0.034441723469745104,-2.596917636368764
2024-07-09,0.7985055001204706,0.7985055001204706,observed,sentinel2,0.8575216638675236,0.034441723469745104,-1.7135078562167478
2024-07-10,,0.7839490952911329,interpolated,,0.8575216638675236,0.05005331831648931,-1.469883936788929
2024-07-11,,0.7841910927646936,interpolated,sentinel2,0.8575216638675236,0.034441723469745104,-2.129120256343918
2024-07-12,,0.785188286733494,interpolated,,0.8575216638675236,0.02786913035335783,-2.5954658870550125
2024-07-13,,0.7857636506067133,interpolated,,0.8575216638675236,0.02786913035335783,-2.5748206833502616
2024-07-14,,0.7836579436240708,interpolated,sentinel2,0.8575216638675236,0.02786913035335783,-2.6503776510756194
2024-07-15,,0.7858605424306716,interpolated,,0.8575216638675236,0.02786913035335783,-2.5713440113935184
2024-07-16,0.7906137184115525,0.7906137184115525,observed,sentinel2,0.8575216638675236,0.02786913035335783,-2.4007905739301143
2024-07-17,,0.7780044440282008,interpolated,,0.8575216638675236,0.02294468803823916,-3.465604749421783
2024-07-18,,0.7747051935134497,interpolated,,0.8575216638675236,0.02786913035335783,-2.9716201870682237
2024-07-19,0.8126296822494978,0.8126296822494978,observed,sentinel2,0.8575216638675236,0.02786913035335783,-1.6108138664117635
2024-07-20,,0.7834758248904348,interpolated,,0.8575216638675236,0.02786913035335783,-2.656912434591536
2024-07-21,,0.7836947203457095,interpolated,sentinel2,0.8575216638675236,0.02157779524261139,-3.4214312765384913
2024-07-22,,0.7832341559577136,interpolated,,0.8575216638675236,0.015286460131864951,-4.859693301718433
2024-07-23,,0.7829768067838371,interpolated,,0.8575216638675236,0.009951662694727104,
2024-07-24,,0.7815822821332102,interpolated,sentinel2,0.8575216638675236,0.009951662694727104,
2024-07-25,,0.7825231205236454,interpolated,,0.8575216638675236,0.004616865257589094,
2024-07-26,0.7970142697036128,0.7970142697036128,observed,sentinel2,0.8575216638675236,0.004616865257589094,
2024-07-27,,0.7850287868803213,interpolated,,0.8575216638675236,0.004616865257589094,
2024-07-28,,0.7814680577270823,interpolated,,,,
2024-07-29,,0.7803676966630421,interpolated,sentinel2,,,
2024-07-30,,0.7782528595729359,interpolated,,,,
2024-07-31,0.8214499700419414,0.8214499700419414,observed,sentinel2,,,
