scope,variant,n,rmse,mae,bias,p95_absolute_error
development_blocks,baseline,4430,0.09417293020870814,0.06807186702239752,-0.010160939663662674,0.202746685044965
development_blocks,candidate,4430,0.09375831082019062,0.06741357682996937,-0.009198960664179107,0.1976401015096763
development_points,baseline,4482,0.06826028078943545,0.047690948752884536,-0.0005134610784594533,0.13646358228663583
development_points,candidate,4482,0.06786297100855326,0.04744676949825523,-0.00032632653182601947,0.1355147993652703
