scope,candidate,n,rmse,mae,bias,p95_absolute_error,gap_score
assessment_blocks,dynamics,514,0.09220583787719679,0.0700288031635544,-0.006924662675049586,0.1840418083187145,2.34
assessment_points,dynamics,511,0.07119360004562389,0.047307308215372226,-0.004054762628421052,0.15246275441158297,8.64
calibration_blocks,dynamics,622,0.09639970947642851,0.06784316763205378,-0.001959360876278909,0.20019607762328084,1.08
calibration_points,dynamics,551,0.06822175472547493,0.04587452464685097,-0.00011475316116368685,0.13450083083676717,9.53
temporal_blocks,dynamics,286,0.08093570511816764,0.0580209421456009,0.010148453381233513,0.1911770194384288,5.72
temporal_points,dynamics,282,0.057632555469009,0.04088695663739466,0.0014542736448510732,0.11146800531697988,12.71
