scope,candidate,n,rmse,mae,bias,p95_absolute_error,gap_score
development_blocks,combined,4430,0.09397867654142954,0.06811607991431448,-0.010028461214336001,0.19997262388548273,1.81
development_blocks,crop,4430,0.09486246161794867,0.06868929014062328,-0.009610390715817558,0.1983822027519068,1.54
development_blocks,current,4430,0.09537379368484203,0.06891159864358598,-0.010185235643859815,0.2003319784556966,1.39
development_blocks,dynamics,4430,0.09417293020870812,0.06807186702239751,-0.010160939663662648,0.20274668504496499,1.75
development_points,combined,4482,0.06835601577573643,0.04774523791104359,-0.0004118270110376241,0.13593570590876358,9.49
development_points,crop,4482,0.06924053919138472,0.04837187468371998,-0.00028934049105567954,0.14014613177916016,9.23
development_points,current,4482,0.0692072111249384,0.04828239729895505,-0.00033130120467712425,0.1401618099019889,9.24
development_points,dynamics,4482,0.06826028078943545,0.047690948752884536,-0.0005134610784594313,0.13646358228663583,9.52
