scope,variant,n,rmse,mae,bias,p95_absolute_error
development_blocks,baseline,4430,0.09417293020870814,0.06807186702239752,-0.010160939663662674,0.202746685044965
development_blocks,candidate,4430,0.09413427665002404,0.06822525452808316,-0.009928755122286474,0.20155827551344155
development_points,baseline,4482,0.06826028078943545,0.047690948752884536,-0.0005134610784594533,0.13646358228663583
development_points,candidate,4482,0.06833130794591082,0.04769447859123649,-0.0005085598159492279,0.1371951347277715
