scope,variant,n,rmse,mae,bias,p95_absolute_error
development_blocks,baseline,4430,0.09417293020870814,0.06807186702239752,-0.010160939663662674,0.202746685044965
development_blocks,candidate,4430,0.09399856309083163,0.06752655435139598,-0.009537571766334785,0.1984570675975641
development_points,baseline,4482,0.06826028078943545,0.047690948752884536,-0.0005134610784594533,0.13646358228663583
development_points,candidate,4482,0.06808955720222332,0.04762564366497284,-0.0003347178797346667,0.13543645712098493
