scope,variant,n,rmse,mae,bias,p95_absolute_error
development_blocks,baseline,4430,0.09375831082019062,0.06741357682996937,-0.009198960664179107,0.1976401015096763
development_blocks,candidate,4430,0.09399856309083163,0.06752655435139598,-0.009537571766334785,0.1984570675975641
development_points,baseline,4482,0.06786297100855326,0.04744676949825523,-0.00032632653182601947,0.1355147993652703
development_points,candidate,4482,0.06808955720222332,0.04762564366497284,-0.0003347178797346667,0.13543645712098493
